
code	|	name	|	preferred name	|	taxid
3	|	Aenictus anceps	|	 	|	 
3	|	Aenictus annae	|	 	|	 
3	|	Aenictus appressipilosus	|	 	|	 
3	|	Aenictus arabicus	|	 	|	 
1	|	Aenictus aratus	|	 	|	232116
3	|	Aenictus artipus	|	 	|	 
3	|	Aenictus arya	|	 	|	 
3	|	Aenictus asantei	|	 	|	 
3	|	Aenictus asperivalvus	|	 	|	 
3	|	Aenictus bakeri	|	 	|	 
3	|	Aenictus baliensis	|	 	|	 
3	|	Aenictus bayoni	|	 	|	 
3	|	Aenictus binghami	|	 	|	 
3	|	Aenictus biroi	|	 	|	 
1	|	Aenictus bobaiensis	|	 	|	602257
3	|	Aenictus bodongjaya	|	 	|	 
3	|	Aenictus bottegoi	|	 	|	 
3	|	Aenictus brazzai	|	 	|	 
3	|	Aenictus breviceps	|	 	|	 
3	|	Aenictus brevicornis	|	 	|	 
3	|	Aenictus brevinodus	|	 	|	 
3	|	Aenictus brevipodus	|	 	|	 
3	|	Aenictus buttelreepeni	|	 	|	 
3	|	Aenictus buttgenbachi	|	 	|	 
1	|	Aenictus camposi	|	 	|	602264
3	|	Aenictus carolianus	|	 	|	 
3	|	Aenictus certus	|	 	|	 
1	|	Aenictus ceylonicus	|	 	|	232114
3	|	Aenictus changmaianus	|	 	|	 
3	|	Aenictus chapmani	|	 	|	 
3	|	Aenictus clavatus	|	 	|	 
3	|	Aenictus clavitibia	|	 	|	 
3	|	Aenictus concavus	|	 	|	 
3	|	Aenictus congolensis	|	 	|	 
1	|	Aenictus cornutus	|	 	|	602275
3	|	Aenictus crucifer	|	 	|	 
1	|	Aenictus currax	|	 	|	602277
3	|	Aenictus cylindripetiolus	|	 	|	 
3	|	Aenictus decolor	|	 	|	 
1	|	Aenictus dentatus	|	 	|	320719
3	|	Aenictus diclops	|	 	|	 
3	|	Aenictus dlusskyi	|	 	|	 
3	|	Aenictus doryloides	|	 	|	 
3	|	Aenictus doydeei	|	 	|	 
3	|	Aenictus duengkaei	|	 	|	 
3	|	Aenictus eguchii	|	 	|	 
1	|	Aenictus eugenii	|	 	|	232112
3	|	Aenictus exilis	|	 	|	 
3	|	Aenictus feae	|	 	|	 
1	|	Aenictus fergusoni	|	 	|	602285
3	|	Aenictus foreli	|	 	|	 
3	|	Aenictus formosensis	|	 	|	 
1	|	Aenictus fuchuanensis	|	 	|	602287
3	|	Aenictus fulvus	|	 	|	 
3	|	Aenictus furculatus	|	 	|	 
3	|	Aenictus furibundus	|	 	|	 
3	|	Aenictus fuscipennis	|	 	|	 
3	|	Aenictus fuscovarius	|	 	|	 
3	|	Aenictus gibbosus	|	 	|	 
3	|	Aenictus glabratus	|	 	|	 
3	|	Aenictus glabrinotum	|	 	|	 
3	|	Aenictus gleadowii	|	 	|	 
3	|	Aenictus gonioccipus	|	 	|	 
1	|	Aenictus gracilis	|	 	|	602298
3	|	Aenictus grandis	|	 	|	 
3	|	Aenictus gutianshanensis	|	 	|	 
3	|	Aenictus hamifer	|	 	|	 
3	|	Aenictus henanensis	|	 	|	 
3	|	Aenictus hilli	|	 	|	 
1	|	Aenictus hodgsoni	|	 	|	2488197
1	|	Aenictus hoelldobleri	|	 	|	2488198
1	|	Aenictus hottai	|	 	|	602304
3	|	Aenictus humeralis	|	 	|	 
3	|	Aenictus huonicus	|	 	|	 
3	|	Aenictus icarus	|	 	|	 
3	|	Aenictus idoneus	|	 	|	 
3	|	Aenictus inconspicuus	|	 	|	 
3	|	Aenictus indicus	|	 	|	 
3	|	Aenictus inflatus	|	 	|	 
3	|	Aenictus itoi	|	 	|	 
3	|	Aenictus jacobsoni	|	 	|	 
3	|	Aenictus jarujini	|	 	|	 
3	|	Aenictus javanus	|	 	|	 
3	|	Aenictus jawadwipa	|	 	|	 
3	|	Aenictus khaoyaiensis	|	 	|	 
3	|	Aenictus kutai	|	 	|	 
1	|	Aenictus laeviceps	|	 	|	232113
1	|	Aenictus latifemoratus	|	 	|	602316
3	|	Aenictus latiscapus	|	 	|	 
3	|	Aenictus leliepvrei	|	 	|	 
3	|	Aenictus leptotyphlatta	|	 	|	 
1	|	Aenictus levior	|	 	|	2488199
3	|	Aenictus lifuiae	|	 	|	 
3	|	Aenictus longi	|	 	|	 
3	|	Aenictus longicephalus	|	 	|	 
3	|	Aenictus longinodus	|	 	|	 
3	|	Aenictus luteus	|	 	|	 
3	|	Aenictus luzoni	|	 	|	 
3	|	Aenictus maneerati	|	 	|	 
3	|	Aenictus mariae	|	 	|	 
