
code	|	name	|	preferred name	|	taxid
3	|	Angulitermes kashmirensis	|	 	|	 
3	|	Angulitermes keralai	|	 	|	 
3	|	Angulitermes longifrons	|	 	|	 
3	|	Angulitermes mishrai	|	 	|	 
3	|	Angulitermes nepalensis	|	 	|	 
3	|	Angulitermes nilensis	|	 	|	 
3	|	Angulitermes obtusus	|	 	|	 
3	|	Angulitermes paanensis	|	 	|	 
3	|	Angulitermes punjabensis	|	 	|	 
3	|	Angulitermes quadriceps	|	 	|	 
3	|	Angulitermes ramanii	|	 	|	 
3	|	Angulitermes rathorai	|	 	|	 
3	|	Angulitermes resimus	|	 	|	 
3	|	Angulitermes tilaki	|	 	|	 
3	|	Angulitermes truncatus	|	 	|	 
3	|	Anhangatermes anhanguera	|	 	|	 
3	|	Anhangatermes eurycephalus	|	 	|	 
3	|	Anhangatermes juruena	|	 	|	 
1	|	Anhangatermes macarthuri	|	 	|	1934450
3	|	Anhangatermes pilosus	|	 	|	 
3	|	Anoplotermes ater	|	 	|	 
3	|	Anoplotermes bahamensis	|	 	|	 
1	|	Anoplotermes banksi	|	 	|	948538
3	|	Anoplotermes bolivianus	|	 	|	 
3	|	Anoplotermes brucei	|	 	|	 
3	|	Anoplotermes distans	|	 	|	 
3	|	Anoplotermes fumosus	|	 	|	 
3	|	Anoplotermes gracilis	|	 	|	 
3	|	Anoplotermes grandifons	|	 	|	 
3	|	Anoplotermes hondurensis	|	 	|	 
3	|	Anoplotermes howardi	|	 	|	 
3	|	Anoplotermes inopinatus	|	 	|	 
1	|	Anoplotermes janus	|	 	|	948540
3	|	Anoplotermes meridianus	|	 	|	 
3	|	Anoplotermes pacificus	|	 	|	 
1	|	Anoplotermes parvus	|	 	|	948539
3	|	Anoplotermes punctatus	|	 	|	 
3	|	Anoplotermes pyriformis	|	 	|	 
3	|	Anoplotermes rotundus	|	 	|	 
1	|	Anoplotermes schwarzi	|	 	|	1249903
3	|	Anoplotermes subterraneus	|	 	|	 
3	|	Anoplotermes tenebrosus	|	 	|	 
1	|	Antillitermes subtilis	|	 	|	2698445
3	|	Apagotermes stolidus	|	 	|	 
1	|	Aparatermes abbreviatus	|	 	|	2082397
1	|	Aparatermes cingulatus	|	 	|	1367267
2	|	Aparatermes silvestrii	|	Aparatermes cingulatus	|	1367267
3	|	Aparatermes thornatus	|	 	|	 
3	|	Apicotermes angustatus	|	 	|	 
3	|	Apicotermes arquieri	|	 	|	 
3	|	Apicotermes desneuxi	|	 	|	 
3	|	Apicotermes emersoni	|	 	|	 
3	|	Apicotermes goesswaldi	|	 	|	 
3	|	Apicotermes gurgulifex	|	 	|	 
3	|	Apicotermes holmgreni	|	 	|	 
3	|	Apicotermes kisantuensis	|	 	|	 
3	|	Apicotermes lamani	|	 	|	 
3	|	Apicotermes occultus	|	 	|	 
3	|	Apicotermes porifex	|	 	|	 
3	|	Apicotermes rimulifex	|	 	|	 
3	|	Apicotermes tragardhi	|	 	|	 
1	|	Apilitermes longiceps	|	 	|	187574
3	|	Apsenterotermes aspersus	|	 	|	 
3	|	Apsenterotermes declinatus	|	 	|	 
3	|	Apsenterotermes improcerus	|	 	|	 
3	|	Apsenterotermes iridipennis	|	 	|	 
3	|	Apsenterotermes stenopronos	|	 	|	 
1	|	Araujotermes caissara	|	 	|	2358277
3	|	Araujotermes nanus	|	 	|	 
1	|	Araujotermes parvellus	|	 	|	1934455
3	|	Araujotermes zeteki	|	 	|	 
3	|	Archotermopsis kuznetsovi	|	 	|	 
1	|	Archotermopsis wroughtoni	|	 	|	46575
3	|	Arcotermes tubus	|	 	|	 
3	|	Armitermes armiger	|	 	|	 
3	|	Armitermes bidentatus	|	 	|	 
1	|	Armitermes spininotus	|	 	|	1972817
3	|	Asagarotermes coronatus	|	 	|	 
3	|	Astalotermes acholus	|	 	|	 
3	|	Astalotermes aganus	|	 	|	 
3	|	Astalotermes amicus	|	 	|	 
3	|	Astalotermes benignus	|	 	|	 
3	|	Astalotermes brevior	|	 	|	 
3	|	Astalotermes comis	|	 	|	 
3	|	Astalotermes concilians	|	 	|	 
3	|	Astalotermes empodius	|	 	|	 
3	|	Astalotermes eumenus	|	 	|	 
3	|	Astalotermes hapalus	|	 	|	 
3	|	Astalotermes ignavus	|	 	|	 
3	|	Astalotermes impedians	|	 	|	 
3	|	Astalotermes irrixosus	|	 	|	 
3	|	Astalotermes mitis	|	 	|	 
1	|	Astalotermes murcus	|	 	|	377871
3	|	Astalotermes obstructus	|	 	|	 
1	|	Astalotermes quietus	|	 	|	201539
3	|	Astratotermes aneristus	|	 	|	 
3	|	Astratotermes apocnetus	|	 	|	 
3	|	Astratotermes hilarus	|	 	|	 
3	|	Astratotermes mansuetus	|	 	|	 
3	|	Astratotermes pacatus	|	 	|	 
3	|	Astratotermes prosenus	|	 	|	 
3	|	Ateuchotermes ctenopher	|	 	|	 
3	|	Ateuchotermes muricatus	|	 	|	 
3	|	Ateuchotermes pectinatus	|	 	|	 
3	|	Ateuchotermes rastratus	|	 	|	 
1	|	Ateuchotermes retifaciens	|	 	|	1934464
3	|	Ateuchotermes sentosus	|	 	|	 
3	|	Ateuchotermes spinulatus	|	 	|	 
3	|	Ateuchotermes tranquillus	|	 	|	 
3	|	Atlantitermes guarinim	|	 	|	 
3	|	Atlantitermes ibitiriguara	|	 	|	 
3	|	Atlantitermes kirbyi	|	 	|	 
1	|	Atlantitermes oculatissimus	|	 	|	377877
1	|	Atlantitermes osborni	|	 	|	2603939
3	|	Atlantitermes raripilus	|	 	|	 
1	|	Atlantitermes snyderi	|	 	|	1934466
3	|	Atlantitermes stercophilus	|	 	|	 
3	|	Australitermes dilucidus	|	 	|	 
3	|	Australitermes insignitus	|	 	|	 
1	|	Australitermes perlevis	|	 	|	377878
3	|	Basidentitermes amicus	|	 	|	 
1	|	Basidentitermes aurivillii	|	 	|	1576339
3	|	Basidentitermes demoulini	|	 	|	 
3	|	Basidentitermes diversifrons	|	 	|	 
1	|	Basidentitermes mactus	|	 	|	377880
3	|	Basidentitermes malelaensis	|	 	|	 
1	|	Basidentitermes potens	|	 	|	2589829
3	|	Basidentitermes trilobatus	|	 	|	 
3	|	Batillitermes clypeatus	|	 	|	 
3	|	Batillitermes monachus	|	 	|	 
3	|	Baucaliotermes hainesi	|	 	|	 
3	|	Bicornitermes bicornis	|	 	|	 
3	|	Bicornitermes emersoni	|	 	|	 
3	|	Bicornitermes exsertifrons	|	 	|	 
3	|	Bicornitermes spinicollis	|	 	|	 
3	|	Bifiditermes angulatus	|	 	|	 
3	|	Bifiditermes beesoni	|	 	|	 
3	|	Bifiditermes durbanensis	|	 	|	 
1	|	Bifiditermes improbus	|	 	|	105776
3	|	Bifiditermes indicus	|	 	|	 
3	|	Bifiditermes jeannelanus	|	 	|	 
3	|	Bifiditermes madagascariensis	|	 	|	 
1	|	Bifiditermes mutubae	|	 	|	2603941
3	|	Bifiditermes pintoi	|	 	|	 
3	|	Bifiditermes rogierae	|	 	|	 
3	|	Bifiditermes sibayiensis	|	 	|	 
3	|	Bifiditermes sylvaticus	|	 	|	 
3	|	Bulbitermes borneensis	|	 	|	 
3	|	Bulbitermes brevicornis	|	 	|	 
3	|	Bulbitermes bulbiceps	|	 	|	 
3	|	Bulbitermes busuangae	|	 	|	 
3	|	Bulbitermes constricticeps	|	 	|	 
3	|	Bulbitermes constrictiformis	|	 	|	 
3	|	Bulbitermes constrictoides	|	 	|	 
3	|	Bulbitermes constrictus	|	 	|	 
3	|	Bulbitermes durianensis	|	 	|	 
3	|	Bulbitermes flavicans	|	 	|	 
3	|	Bulbitermes fulvus	|	 	|	 
3	|	Bulbitermes gedeensis	|	 	|	 
3	|	Bulbitermes germanus	|	 	|	 
3	|	Bulbitermes johorensis	|	 	|	 
3	|	Bulbitermes kraepelini	|	 	|	 
3	|	Bulbitermes lakshmani	|	 	|	 
3	|	Bulbitermes mariveles	|	 	|	 
3	|	Bulbitermes mcgregori	|	 	|	 
3	|	Bulbitermes nasutus	|	 	|	 
1	|	Bulbitermes parapusillus	|	 	|	229648
3	|	Bulbitermes perpusillus	|	 	|	 
1	|	Bulbitermes prabhae	|	 	|	229647
3	|	Bulbitermes pronasutus	|	 	|	 
3	|	Bulbitermes prorosae	|	 	|	 
3	|	Bulbitermes pusillus	|	 	|	 
3	|	Bulbitermes pyriformis	|	 	|	 
3	|	Bulbitermes rosae	|	 	|	 
3	|	Bulbitermes salakensis	|	 	|	 
1	|	Bulbitermes sarawakensis	|	 	|	377882
1	|	Bulbitermes singaporiensis	|	 	|	1934469
3	|	Bulbitermes subulatus	|	 	|	 
3	|	Bulbitermes umasumasensis	|	 	|	 
3	|	Bulbitermes vicinus	|	 	|	 
1	|	Caetetermes taquarussu	|	 	|	1427995
